"unigram","bigram","trigram","freq"
"i","thought","it",30
"is","there","a",30
"it","was","not",30
"little","boy","with",30
"might","be","a",30
"south","carolina","attractions",30
"such","a","good",30
"that","he","had",30
"the","big","sword",30
"the","gaston","south",30
"the","little","boy",30
"to","check","out",30
"to","know","that",30
"to","the","point",30
"to","try","to",30
"we","would","like",30
"you","make","it",30
"as","far","as",29
"as","long","as",29
"be","a","good",29
"but","i","think",29
"but","it","is",29
"for","the","retweet",29
"have","a","fun",29
"he","was","a",29
"how","can","i",29
"i","believe","that",29
"in","addition","to",29
"in","the","us",29
"it","on","the",29
"it","seems","to",29
"just","like","you",29
"me","in","the",29
"of","the","most",29
"of","the","world",29
"place","and","i",29
"spread","the","word",29
"the","only","one",29
"to","be","an",29
"to","watch","the",29
"want","to","know",29
"you","got","me",29
"you","like","the",29
"be","at","the",28
"coming","back","to",28
"do","you","like",28
"dont","miss","it",28
"dont","think","i",28
"get","on","your",28
"go","back","to",28
"got","to","see",28
"had","to","be",28
"have","to","wait",28
"hot","as","hell",28
"i","love","that",28
"i","need","more",28
"i","wound","up",28
"if","i","dont",28
"just","got","to",28
"look","at","it",28
"me","and","i",28
"of","my","favorite",28
"on","how","to",28
"thanks","for","your",28
"that","we","have",28
"the","early","s",28
"the","grocery","store",28
"the","job","done",28
"the","thrust","phase",28
"this","will","be",28
"to","get","out",28
"to","take","a",28
"to","wait","until",28
"week","or","so",28
"will","not","be",28
"yes","i","just",28
"you","will","not",28
"a","little","bit",27
"a","number","of",27
"a","part","of",27
"and","cook","until",27
"and","then","i",27
"and","with","a",27
"but","it","can",27
"but","this","is",27
"cannot","wait","to",27
"for","a","new",27
"get","back","to",27
"getting","ready","for",27
"he","who","loses",27
"hope","to","see",27
"i","can","read",27
"i","got","a",27
"i","know","he",27
"i","live","in",27
"impacts","would","be",27
"in","the","house",27
"in","the","summer",27
"is","in","the",27
"it","should","be",27
"it","that","the",27
"it","was","fun",27
"it","was","so",27
"must","say","i",27
"not","sure","i",27
"on","the","th",27
"out","of","me",27
"out","to","the",27
"significant","impacts","would",27
"someone","told","me",27
"that","in","the",27
"the","things","that",27
"time","at","the",27
"to","come","to",27
"to","do","when",27
"wanted","to","be",27
"wanting","to","get",27
"way","to","go",27
"when","he","was",27
"which","is","a",27
"with","the","kids",27
"you","are","so",27
"you","ask","me",27
"you","know","what",27
"you","so","much",27
"all","the","things",26
"and","cant","wait",26
"and","i","think",26
"be","a","part",26
"but","i","can",26
"commencement","will","be",26
"during","the","day",26
"i","dont","feel",26
"i","dont","really",26
"i","have","no",26
"i","have","nothing",26
"i","wonder","if",26
"in","a","very",26
"in","the","light",26
"is","our","primary",26
"it","comes","to",26
"our","primary","goal",26
"primary","goal","well",26
"say","that","i",26
"say","that","the",26
"so","we","can",26
"so","you","can",26
"that","they","were",26
"the","importance","of",26
"the","kind","of",26
"to","get","the",26
"to","the","game",26
"to","the","next",26
"today","or","tomorrow",26
"top","of","the",26
"want","to","help",26
"when","it","comes",26
"a","good","way",25
"about","it","i",25
"an","amazing","night",25
"and","that","i",25
"are","you","trying",25
"can","do","it",25
"does","that","mean",25
"everyone","else","is",25
"everything","i","need",25
"feel","free","to",25
"for","the","link",25
"for","the","rt",25
"going","to","go",25
"good","way","to",25
"have","to","play",25
"he","was","one",25
"how","do","you",25
"i","just","dont",25
"i","love","my",25
"i","needed","that",25
"i","started","to",25
"i","thought","i",25
"if","you","do",25
"if","you","dont",25
"im","not","the",25
"is","a","great",25
"just","dont","like",25
"last","night","i",25
"light","of","the",25
"love","when","people",25
"make","sure","you",25
"me","and","my",25
"my","last","post",25
"out","of","town",25
"thank","you","so",25
"that","i","am",25
"that","they","are",25
"the","one","thing",25
"the","people","you",25
"the","same","way",25
"the","time","she",25
"there","have","been",25
"think","the","same",25
"this","was","a",25
"time","before","the",25
"time","to","make",25
"to","be","completely",25
"to","be","the",25
"to","keep","the",25
"to","listen","to",25
"to","make","sure",25
"was","a","good",25
"what","a","great",25
"what","kind","of",25
"you","had","to",25
"you","trying","to",25
"a","couple","hours",24
"a","wonderful","day",24
"always","wanting","to",24
"and","the","best",24
"another","side","of",24
"as","i","am",24
"ass","on","first",24
"did","you","know",24
"enough","to","know",24
"focus","on","the",24
"front","of","groups",24
"get","in","someones",24
"gonna","be","a",24
"happy","mothers","day",24
"happy","valentines","day",24
"have","a","little",24
"hes","always","wanting",24
"i","asked","him",24
"i","could","be",24
"i","got","the",24
"i","had","not",24
"i","have","had",24
"i","just","saw",24
"i","know","what",24
"i","made","for",24
"i","went","to",24
"i","woke","up",24
"im","talking","about",24
"in","his","ears",24
"in","someones","ass",24
"in","the","morning",24
"in","the","other",24
"is","the","most",24
"know","what","im",24
"later","this","week",24
"lead","me","to",24
"little","more","why",24
"mad","at","me",24
"me","feel","like",24
"me","in","my",24
"me","know","if",24
"more","why","hes",24
"not","the","same",24
"of","groups","but",24
"of","skip","understand",24
"on","first","take",24
"rt","if","you",24
"see","another","side",24
"side","of","skip",24
"skip","understand","a",24
"so","blessed","to",24
"so","that","it",24
"someones","ass","on",24
"the","name","of",24
"the","other","side",24
"there","was","nothing",24
"to","go","and",24
"to","let","the",24
"to","me","and",24
"to","me","in",24
"to","san","diego",24
"to","see","another",24
"tonight","at","pm",24
"understand","a","little",24
"was","only","a",24
"we","had","a",24
"were","going","to",24
"what","im","talking",24
"why","hes","always",24
"with","a","hammer",24
"wont","be","pretty",24
"year","and","i",24
"you","are","a",24
"you","ever","come",24
"a","dollar","itunes",23
"a","good","time",23
"a","little","boy",23
"a","new","job",23
"a","picture","of",23
"a","variety","of",23
"allow","me","to",23
"also","if","you",23
"always","laughs","at",23
"and","even","a",23
"and","follower","a",23
"and","the","show",23
"and","there","is",23
"at","them","its",23
"but","i","do",23
"but","when","i",23
"card","and","follower",23
"change","your","plans",23
"come","out","to",23
"derby","winner","sorta",23
"do","you","know",23
"dollar","itunes","gift",23
"faceplants","or","gets",23
"follow","me","my",23
"follower","will","get",23
"for","a","great",23
"friend","always","laughs",23
"friend","faceplants","or",23
"funny","how","whenever",23
"get","a","dollar",23
"gets","hurt","there",23
"gift","card","and",23
"have","to","be",23
"he","moved","to",23
"he","was","in",23
"how","whenever","someones",23
"hurt","there","friend",23
"i","cant","believe",23
"i","dont","do",23
"i","finished","my",23
"i","gave","up",23
"i","get","ready",23
"i","just","cant",23
"i","just","wanna",23
"i","want","a",23
"i","was","being",23
"if","i","were",23
"if","you","like",23
"if","you","noticed",23
"in","a","couple",23
"in","my","head",23
"in","the","long",23
