"unigram","bigram","freq"
"with","her",91
"but","not",90
"some","of",90
"working","on",90
"you","were",90
"a","long",89
"a","man",89
"and","if",89
"but","they",89
"could","have",89
"is","this",89
"me","that",89
"out","in",89
"people","are",89
"as","an",88
"before","i",88
"got","to",88
"great","day",88
"in","an",88
"on","this",88
"to","call",88
"to","tell",88
"well","i",88
"i","wanted",87
"im","sure",87
"last","year",87
"new","york",87
"who","is",87
"against","the",86
"and","now",86
"but","im",86
"i","went",86
"the","game",86
"with","some",86
"you","for",86
"be","the",85
"first","time",85
"in","fact",85
"is","what",85
"of","them",85
"the","story",85
"to","follow",85
"to","show",85
"much","for",84
"people","who",84
"seems","to",84
"the","city",84
"the","s",84
"to","start",84
"today","is",84
"with","your",84
"and","all",83
"as","it",83
"out","there",83
"thats","a",83
"to","our",83
"us","to",83
"was","not",83
"yes","i",83
"all","i",82
"bit","of",82
"in","love",82
"now","and",82
"now","that",82
"on","to",82
"order","to",82
"so","it",82
"that","im",82
"well","as",82
"when","we",82
"a","small",81
"live","in",81
"my","mom",81
"so","we",81
"the","show",81
"this","weekend",81
"was","going",81
"we","could",81
"at","this",80
"but","you",80
"hope","you",80
"me","too",80
"of","it",80
"robert","kaufman",80
"to","write",80
"while","i",80
"you","a",80
"you","all",80
"and","its",79
"does","not",79
"dont","have",79
"dont","like",79
"end","of",79
"go","out",79
"had","been",79
"side","of",79
"talk","about",79
"to","that",79
"will","always",79
"decided","to",78
"i","mean",78
"if","u",78
"just","like",78
"know","if",78
"let","the",78
"like","you",78
"listening","to",78
"tell","me",78
"tell","you",78
"we","all",78
"year","and",78
"you","could",78
"and","do",77
"and","she",77
"but","this",77
"can","get",77
"for","following",77
"if","youre",77
"im","a",77
"know","how",77
"rest","of",77
"a","while",76
"according","to",76
"and","other",76
"and","they",76
"if","they",76
"in","that",76
"it","a",76
"it","as",76
"love","and",76
"of","these",76
"things","that",76
"this","one",76
"time","for",76
"welcome","to",76
"year","i",76
"you","get",76
"are","more",75
"as","you",75
"been","a",75
"front","of",75
"have","it",75
"how","do",75
"it","but",75
"it","its",75
"make","the",75
"mister","rogers",75
"the","right",75
"this","time",75
"through","the",75
"time","and",75
"wait","for",75
"with","that",75
"you","and",75
"your","favorite",75
"ability","to",74
"for","an",74
"get","in",74
"it","on",74
"so","that",74
"such","as",74
"to","buy",74
"to","look",74
"to","try",74
"to","use",74
"waiting","for",74
"you","may",74
"at","all",73
"for","those",73
"good","morning",73
"i","must",73
"its","the",73
"know","it",73
"lots","of",73
"the","kids",73
"to","this",73
"wants","to",73
"when","they",73
"why","i",73
"a","picture",72
"a","way",72
"at","my",72
"can","do",72
"got","the",72
"have","you",72
"he","would",72
"it","can",72
"more","of",72
"on","twitter",72
"or","so",72
"piece","of",72
"sure","i",72
"that","my",72
"the","middle",72
"they","can",72
"to","new",72
"with","an",72
"with","it",72
"and","more",71
"i","made",71
"please","follow",71
"that","in",71
"to","share",71
"up","i",71
"a","time",70
"and","this",70
"and","you",70
"be","there",70
"i","saw",70
"not","be",70
"ready","for",70
"that","are",70
"to","change",70
"to","move",70
"would","you",70
"you","in",70
"a","month",69
"a","whole",69
"at","it",69
"believe","that",69
"do","we",69
"for","his",69
"watching","the",69
"when","it",69
"you","make",69
"about","to",68
"and","how",68
"and","im",68
"and","so",68
"but","in",68
"great","time",68
"i","might",68
"is","now",68
"lack","of",68
"little","boy",68
"not","only",68
"off","the",68
"only","a",68
"talk","to",68
"the","point",68
"the","two",68
"these","are",68
"to","his",68
"under","the",68
"as","to",67
"away","from",67
"day","in",67
"from","my",67
"i","loved",67
"number","of",67
"the","little",67
"you","should",67
"and","even",66
"before","the",66
"following","me",66
"how","can",66
"no","one",66
"or","a",66
"she","has",66
"was","an",66
"we","had",66
"you","i",66
"you","the",66
"a","fun",65
"all","these",65
"as","he",65
"better","than",65
"even","if",65
"every","day",65
"hard","to",65
"here","is",65
"is","your",65
"just","because",65
"me","feel",65
"of","that",65
"rt","if",65
"to","play",65
"a","job",64
"among","the",64
"and","not",64
"because","it",64
"for","our",64
"free","spirit",64
"have","some",64
"i","believe",64
"i","said",64
"if","your",64
"in","their",64
"is","on",64
"it","seems",64
"love","the",64
"made","a",64
"of","people",64
"she","is",64
"so","hard",64
"than","a",64
"that","a",64
"the","man",64
"them","in",64
"way","of",64
"we","know",64
"you","got",64
"be","in",63
"closer","to",63
"coming","to",63
"day","to",63
"gonna","be",63
"i","started",63
"me","on",63
"much","more",63
"one","day",63
"or","the",63
"so","excited",63
"started","to",63
"thought","i",63
"to","let",63
"what","are",63
"wish","i",63
"you","cant",63
"any","of",62
"around","the",62
"get","some",62
