"unigram","bigram","trigram","quadgram","freq"
"dont","speak","for","themselves",20
"everyone","be","safe","and",20
"excited","to","see","the",20
"florida","it","is","insanely",20
"for","me","to","call",20
"friday","everyone","be","safe",20
"friends","steal","my","ipod",20
"from","the","early","s",20
"fucking","volume","just","blasted",20
"fun","homecoming","and","halloween",20
"going","to","be","a",20
"going","to","be","there",20
"gone","to","the","box",20
"guy","friends","steal","my",20
"have","a","fun","homecoming",20
"have","gone","to","the",20
"headphones","are","messed","up",20
"hmm","well","what","would",20
"homecoming","and","halloween","weekend",20
"i","am","so","excited",20
"i","should","have","gone",20
"i","think","my","headphones",20
"i","think","we","all",20
"i","wasnt","planning","on",20
"i","would","never","do",20
"if","you","ask","me",20
"in","florida","it","is",20
"in","person","like","a",20
"in","the","world","i",20
"ipod","and","take","pictures",20
"it","is","insanely","hot",20
"it","scared","the","shit",20
"its","cold","as","balls",20
"its","friday","everyone","be",20
"jayz","brush","ya","shouldas",20
"jordanyoung","sextesting","of","olympic",20
"just","blasted","because","i",20
"like","a","savage","from",20
"like","for","me","to",20
"like","jayz","brush","ya",20
"little","boy","with","the",20
"manifestation","of","notion","of",20
"me","to","call","you",20
"messed","up","and","it",20
"my","guy","friends","steal",20
"my","headphones","are","messed",20
"my","ipod","and","take",20
"my","programs","very","pro",20
"not","the","actual","thing",20
"notion","of","privacy","as",20
"now","do","like","jayz",20
"of","notion","of","privacy",20
"of","olympic","athletes","as",20
"of","privacy","as","privilege",20
"of","the","outside","of",20
"of","their","crotch","not",20
"office","ordered","tickets","in",20
"olympic","athletes","as","manifestation",20
"omg","the","fucking","volume",20
"ordered","tickets","in","person",20
"outside","of","their","pants",20
"person","like","a","savage",20
"pictures","of","their","crotch",20
"please","make","sure","you",20
"privacy","as","privilege","of",20
"privilege","of","whiteness","maleness",20
"pro","public","speaking","sometimes",20
"programs","very","pro","public",20
"public","speaking","sometimes","buildings",20
"quickly","became","one","of",20
"rebecca","jordanyoung","sextesting","of",20
"rt","apparently","i","should",20
"safe","and","have","a",20
"savage","from","the","early",20
"sextesting","of","olympic","athletes",20
"she","quickly","became","one",20
"shit","out","of","me",20
"should","have","gone","to",20
"shouldas","off","stay","one",20
"so","that","it","doesnt",20
"sometimes","buildings","dont","speak",20
"speaking","sometimes","buildings","dont",20
"steal","my","ipod","and",20
"take","pictures","of","their",20
"the","actual","thing","but",20
"the","attitude","of","the",20
"the","bottom","of","the",20
"the","box","office","ordered",20
"the","fucking","volume","just",20
"the","little","boy","with",20
"the","outside","of","their",20
"their","crotch","not","the",20
"thing","but","of","the",20
"think","my","headphones","are",20
"this","is","where","i",20
"tickets","in","person","like",20
"to","build","a","new",20
"to","say","that","i",20
"to","the","box","office",20
"twitter","accounts","with","pinterest",20
"up","and","it","scared",20
"very","pro","public","speaking",20
"volume","just","blasted","because",20
"well","in","florida","it",20
"well","what","would","you",20
"what","would","you","like",20
"with","the","big","sword",20
"would","you","like","for",20
"ya","shouldas","off","stay",20
"yep","now","do","like",20
"you","like","for","me",20
"a","couple","days","ago",19
"a","full","year","those",19
"a","fulltime","semester","in",19
"a","nice","assist","on",19
"a","problem","with","cruise",19
"ahead","do","towards","the",19
"all","of","our","placements",19
"all","the","way","from",19
"already","clogged","we","just",19
"am","so","excited","to",19
"and","find","mejosh","ritter",19
"and","i","have","a",19
"anyone","else","having","a",19
"are","a","full","year",19
"are","two","of","our",19
"ashley","and","i","am",19
"assist","on","that","astros",19
"at","least","not","for",19
"atlanta","now","on","my",19
"be","just","like","you",19
"better","than","expected","yesterday",19
"book","it","looks","beautiful",19
"by","running","mi","better",19
"can","i","get","on",19
"choose","the","mba","follow",19
"clients","when","they","rebook",19
"clogged","we","just","moved",19
"come","and","find","mejosh",19
"cruise","lines","that","poach",19
"do","towards","the","end",19
"else","having","a","problem",19
"expected","yesterday","longest","ive",19
"follow","nyc","or","london",19
"for","the","past","months",19
"full","year","those","who",19
"fulltime","semester","in","bangkok",19
"get","back","to","my",19
"get","on","your","team",19
"go","ahead","do","towards",19
"had","a","nice","assist",19
"happens","rt","is","anyone",19
"having","a","problem","with",19
"he","had","a","nice",19
"how","can","i","get",19
"i","get","on","your",19
"i","need","more","coffee",19
"i","think","i","did",19
"i","want","to","be",19
"ill","go","ahead","do",19
"im","not","sure","i",19
"in","a","couple","days",19
"in","atlanta","now","on",19
"in","the","other","room",19
"is","anyone","else","having",19
"is","what","you","make",19
"it","looks","beautiful","xo",19
"ive","ran","since","may",19
"just","like","you","how",19
"just","moved","in","a",19
"life","is","what","you",19
"like","you","how","can",19
"lines","that","poach","your",19
"london","with","a","fulltime",19
"longest","ive","ran","since",19
"may","maybe","ill","go",19
"maybe","ill","go","ahead",19
"mba","follow","nyc","or",19
"mi","better","than","expected",19
"motivated","by","running","mi",19
"moved","in","a","couple",19
"my","way","to","dc",19
"nice","assist","on","that",19
"now","on","my","way",19
"nyc","or","london","with",19
"of","our","placements","are",19
"of","our","toilets","already",19
"of","the","fact","that",19
"on","that","astros","run",19
"or","london","with","a",19
"our","placements","are","a",19
"our","toilets","already","clogged",19
"pie","book","it","looks",19
"placements","are","a","full",19
"poach","your","clients","when",19
"problem","with","cruise","lines",19
"ran","since","may","maybe",19
"rt","is","anyone","else",19
"running","mi","better","than",19
"see","the","pie","book",19
"since","may","maybe","ill",19
"so","excited","to","see",19
"such","a","turn","on",19
"than","expected","yesterday","longest",19
"thanks","ashley","and","i",19
"that","astros","run","earlier",19
"that","changed","my","life",19
"that","happens","rt","is",19
"that","poach","your","clients",19
"the","end","of","march",19
"the","mba","follow","nyc",19
"the","pie","book","it",19
"they","rebook","on","board",19
"those","who","choose","the",19
"to","be","just","like",19
"to","see","the","pie",19
"toilets","already","clogged","we",19
"towards","the","end","of",19
"two","of","our","toilets",19
"want","to","be","just",19
"we","just","moved","in",19
"what","you","make","it",19
"when","they","rebook","on",19
"where","i","was","going",19
"who","choose","the","mba",19
"why","are","two","of",19
"with","a","fulltime","semester",19
"with","cruise","lines","that",19
"year","those","who","choose",19
"yesterday","longest","ive","ran",19
"you","how","can","i",19
"you","want","to","be",19
"your","clients","when","they",19
"your","such","a","turn",19
"a","good","time","im",18
"a","man","of","honor",18
"a","small","amount","of",18
"about","the","situation","he",18
"above","ours","cant","blame",18
"alfred","described","to","me",18
"all","significant","impacts","would",18
"already","tell","its","going",18
"am","only","planing","on",18
"and","chatting","with","the",18
"and","i","must","say",18
"and","support","our","lovely",18
"and","there","is","no",18
"and","we","love","you",18
"any","tshirts","printed","great",18
"apartment","above","ours","cant",18
"apple","store","cvs","walmart",18
"around","bored","start","making",18
"around","so","far","i",18
"as","honesty","william","shakespeare",18
"at","the","kustom","thrills",18
"attendees","let","us","know",18
"band","business","or","cause",18
"be","a","horrible","day",18
"be","a","part","of",18
"be","mitigated","at","a",18
"be","sitting","around","bored",18
"beppo","the","apple","store",18
"bitches","proceeds","to","make",18
"blame","them","for","wanting",18
"book","club","you","said",18
"bored","start","making","new",18
"bucca","di","beppo","the",18
"business","or","cause","freely",18
"but","dont","call","me",18
"call","me","a","peahead",18
"can","already","tell","its",18
"cant","blame","them","for",18
"cause","freely","hit","us",18
"certainly","get","chars","or",18
"chatting","with","the","mobile",18
"club","you","said","we",18
"coaches","couldnt","tell","him",18
"come","out","to","the",18
"connect","today","or","tomorrow",18
"couldnt","tell","him","the",18
"cvs","walmart","and","anime",18
"date","night","with","the",18
"day","come","out","to",18
"di","beppo","the","apple",18
"ditching","the","book","club",18
"do","you","love","me",18
"do","you","really","not",18
"dont","call","me","a",18
"even","his","coaches","couldnt",18
"far","i","am","only",18
